,KOI,feh,feh_errm,feh_errp,logg,logg_errm,logg_errp,period,period_errm,period_errp,teff,teff_errm,teff_errp
0,1,-0.12,-0.28,0.33,4.609,-0.106,0.027000000000000003,24.848715861685893,1.0897707614484138,1.2281428658166322,5126.0,-138.0,160.0
1,2,-0.15,-0.1,0.1,4.455,-0.025,0.025,19.59579227970833,1.074672481536013,1.063685003235571,5850.0,-50.0,50.0
2,3,0.26,-0.08,0.08,4.021,-0.011000000000000001,0.011000000000000001,28.159582321209484,1.002069559236169,1.0273741369884006,6350.0,-80.0,80.0
3,6,-0.04,-0.16,0.12,4.169,-0.048,0.055,22.746694150103544,1.0372979486379712,1.0346138098452091,6225.0,-158.0,114.0
4,7,0.44,-0.101,0.101,4.081,-0.013999999999999999,0.013999999999999999,25.310086976332585,1.0215608617211807,1.0234500822559713,5543.0,-79.0,79.0
5,8,0.48,-0.16,0.08,4.466,-0.14400000000000002,0.04,15.324677548575366,1.002462925762293,1.0023278278500267,5520.0,-110.0,83.0
6,10,-0.3,-0.26,0.34,4.563,-0.276,0.035,7.457770264334715,1.0163249898823101,1.0171833273577837,5588.0,-141.0,167.0
7,17,-0.02,-0.3,0.2,4.457,-0.282,0.045,18.289422965404025,1.0226895014496296,1.0492815784764065,6117.0,-210.0,156.0
8,18,-0.22,-0.3,0.24,4.226,-0.287,0.166,24.13974044954081,1.064915918009637,1.138305531654987,6391.0,-204.0,157.0
9,20,-0.16,-0.14,0.16,4.388,-0.142,0.087,29.586260261812576,1.0673103730915268,1.1132359544099035,5881.0,-120.0,112.0
10,22,0.21,-0.17,0.11,4.556,-0.094,0.013999999999999999,44.47544680671472,1.0861740362656551,1.142596805836357,5485.0,-112.0,99.0
11,41,0.27,-0.101,0.101,4.192,-0.019,0.019,25.77849180141245,1.0070854798716824,1.0099172266260452,5851.0,-75.0,75.0
12,42,-0.08,-0.28,0.32,4.574,-0.054000000000000006,0.043,20.845961442894826,1.002461514824252,1.002659204674325,4861.0,-128.0,150.0
